id,material,density_kg_m3,volume_fraction,category,C_MPa,S_MPa,T_MPa,notes
minecraft:acacia_slab,wood,385.0,1,wood,17.50007355032313108628923910,12.49963224838434456855380451,7.500171617420639201341557894,Imported effective values; preserve until issue 1B retuning
minecraft:acacia_stairs,wood,577.5,1,wood,26.24961998999715605417226466,18.75042904355159800335389473,11.25025742613095880201233684,Imported effective values; preserve until issue 1B retuning
minecraft:acacia_trapdoor,wood,144.4,1,wood,6.562650165243059301173863157,4.687607260887899500838473684,2.812564356532739700503084210,Imported effective values; preserve until issue 1B retuning
minecraft:acacia_wall_hanging_sign,wood,23.1,1,wood,1.050298614311912210334310735,0.7502132959370801502387933824,0.4501279775622480901432760295,Imported effective values; preserve until issue 1B retuning
minecraft:acacia_wall_sign,wood,30.8,1,wood,1.400398152415882947112414314,1.000284394582773533651724510,0.6001706367496641201910347059,Imported effective values; preserve until issue 1B retuning
minecraft:acacia_wood,wood_log,800.0,1,wood_log,35.00014710064626217257847819,29.99970579870747565484304361,19.99980386580498376989536241,Imported effective values; preserve until issue 1B retuning
minecraft:activator_rail,metal,157.4,1,metal,5.000441301938786517735434584,5.000441301938786517735434584,5.000441301938786517735434584,Imported effective values; preserve until issue 1B retuning
minecraft:air,technical,0.0,1,ignored,0,0,0,Explicitly ignored by the simulator
minecraft:allium,plant,1.0,1,plant,0,0,0,Imported effective values; preserve until issue 1B retuning
minecraft:amethyst_block,mineral,2650.0,1,mineral,39.99960773160996753979072481,2.999872512773239450431985565,1.500426591874160300477586765,Imported effective values; preserve until issue 1B retuning
minecraft:amethyst_cluster,plant,1.0,1,plant,0,0,0,Imported effective values; preserve until issue 1B retuning
minecraft:ancient_debris,metal,8000.0,1,metal,250.0004903354875405752615940,250.0004903354875405752615940,250.0004903354875405752615940,Imported effective values; preserve until issue 1B retuning
minecraft:andesite,stone,2650.0,1,stone,50.00049033548754057526159398,5.000441301938786517735434584,2.499730315481852683606123310,Imported effective values; preserve until issue 1B retuning
minecraft:andesite_slab,stone,1325.0,1,stone,25.00024516774377028763079699,2.499730315481852683606123310,1.250355493228466917064655637,Imported effective values; preserve until issue 1B retuning
minecraft:andesite_stairs,stone,1987.5,1,stone,37.49987741612811485618460150,3.750085808710319600670778947,1.875042904355159800335389473,Imported effective values; preserve until issue 1B retuning
minecraft:andesite_wall,stone,1325.0,1,stone,25.00024516774377028763079699,2.499730315481852683606123310,1.250355493228466917064655637,Imported effective values; preserve until issue 1B retuning
minecraft:anvil,metal,2754.5,1,metal,87.50036775161565543144619549,87.50036775161565543144619549,87.50036775161565543144619549,Imported effective values; preserve until issue 1B retuning
minecraft:attached_melon_stem,plant,1.0,1,plant,0,0,0,Imported effective values; preserve until issue 1B retuning
minecraft:attached_pumpkin_stem,plant,1.0,1,plant,0,0,0,Imported effective values; preserve until issue 1B retuning
minecraft:azalea,plant,1.0,1,plant,0,0,0,Imported effective values; preserve until issue 1B retuning
minecraft:azalea_leaves,plant,80.0,1,plant,0.1000284394582773533651724510,0.05001421972913867668258622550,0.05001421972913867668258622550,Imported effective values; preserve until issue 1B retuning
minecraft:azure_bluet,plant,1.0,1,plant,0,0,0,Imported effective values; preserve until issue 1B retuning
minecraft:bamboo,plant,1.0,1,plant,0,0,0,Imported effective values; preserve until issue 1B retuning
minecraft:bamboo_block,wood_log,700.0,1,wood_log,35.00014710064626217257847819,29.99970579870747565484304361,19.99980386580498376989536241,Imported effective values; preserve until issue 1B retuning
minecraft:bamboo_button,wood,7.0,1,wood,0.3500995381039707367781035785,0.2500710986456933834129311275,0.1500426591874160300477586765,Imported effective values; preserve until issue 1B retuning
minecraft:bamboo_door,wood,131.2,1,wood,6.562650165243059301173863157,4.687607260887899500838473684,2.812564356532739700503084210,Imported effective values; preserve until issue 1B retuning
minecraft:bamboo_fence,wood,175.0,1,wood,8.749546439674024967883025566,6.249816124192172284276902257,3.750085808710319600670778947,Imported effective values; preserve until issue 1B retuning
minecraft:bamboo_fence_gate,wood,175.0,1,wood,8.749546439674024967883025566,6.249816124192172284276902257,3.750085808710319600670778947,Imported effective values; preserve until issue 1B retuning
minecraft:bamboo_hanging_sign,wood,21.0,1,wood,1.050298614311912210334310735,0.7502132959370801502387933824,0.4501279775622480901432760295,Imported effective values; preserve until issue 1B retuning
minecraft:bamboo_mosaic,wood,700.0,1,wood,35.00014710064626217257847819,25.00024516774377028763079699,15.00034323484127840268311579,Imported effective values; preserve until issue 1B retuning
minecraft:bamboo_mosaic_slab,wood,350.0,1,wood,17.50007355032313108628923910,12.49963224838434456855380451,7.500171617420639201341557894,Imported effective values; preserve until issue 1B retuning
minecraft:bamboo_mosaic_stairs,wood,525.0,1,wood,26.24961998999715605417226466,18.75042904355159800335389473,11.25025742613095880201233684,Imported effective values; preserve until issue 1B retuning
minecraft:bamboo_planks,wood,700.0,1,wood,35.00014710064626217257847819,25.00024516774377028763079699,15.00034323484127840268311579,Imported effective values; preserve until issue 1B retuning
minecraft:bamboo_pressure_plate,wood,38.5,1,wood,1.925057124084298477017975699,1.374900707063773033509527219,0.8247442900432475900010787381,Imported effective values; preserve until issue 1B retuning
minecraft:bamboo_sapling,plant,1.0,1,plant,0,0,0,Imported effective values; preserve until issue 1B retuning
minecraft:bamboo_shelf,wood,280.0,1,wood,14.00005884025850486903139128,9.999901932902491884947681203,5.999745025546478900863971129,Imported effective values; preserve until issue 1B retuning
minecraft:bamboo_sign,wood,35.0,1,wood,1.749517019544772533367329927,1.250355493228466917064655637,0.7502132959370801502387933824,Imported effective values; preserve until issue 1B retuning
minecraft:bamboo_slab,wood,350.0,1,wood,17.50007355032313108628923910,12.49963224838434456855380451,7.500171617420639201341557894,Imported effective values; preserve until issue 1B retuning
minecraft:bamboo_stairs,wood,525.0,1,wood,26.24961998999715605417226466,18.75042904355159800335389473,11.25025742613095880201233684,Imported effective values; preserve until issue 1B retuning
minecraft:bamboo_trapdoor,wood,131.2,1,wood,6.562650165243059301173863157,4.687607260887899500838473684,2.812564356532739700503084210,Imported effective values; preserve until issue 1B retuning
minecraft:bamboo_wall_hanging_sign,wood,21.0,1,wood,1.050298614311912210334310735,0.7502132959370801502387933824,0.4501279775622480901432760295,Imported effective values; preserve until issue 1B retuning
minecraft:bamboo_wall_sign,wood,28.0,1,wood,1.400398152415882947112414314,1.000284394582773533651724510,0.6001706367496641201910347059,Imported effective values; preserve until issue 1B retuning
minecraft:barrel,wood_utility,700.0,1,wood_utility,35.00014710064626217257847819,19.99980386580498376989536241,12.00047072206803895225113022,Imported effective values; preserve until issue 1B retuning
minecraft:barrier,technical,0.0,1,ignored,0,0,0,Explicitly ignored by the simulator
minecraft:basalt,stone,3000.0,1,stone,80.00019613419501623010463759,5.999745025546478900863971129,2.999872512773239450431985565,Imported effective values; preserve until issue 1B retuning
minecraft:beacon,utility,1560.0,1,utility,18.00021574761451785311510135,1.799531239273911210049916153,0.9002559551244961802865520589,Imported effective values; preserve until issue 1B retuning
minecraft:bedrock,unbreakable,20000.0,1,unbreakable,10000,10000,10000,Imported effective values; preserve until issue 1B retuning
minecraft:bee_nest,wood_utility,700.0,1,wood_utility,35.00014710064626217257847819,19.99980386580498376989536241,12.00047072206803895225113022,Imported effective values; preserve until issue 1B retuning
minecraft:beehive,wood_utility,700.0,1,wood_utility,35.00014710064626217257847819,19.99980386580498376989536241,12.00047072206803895225113022,Imported effective values; preserve until issue 1B retuning
minecraft:beetroots,plant,1.0,1,plant,0,0,0,Imported effective values; preserve until issue 1B retuning
minecraft:bell,utility,390.0,1,utility,4.500299104647399750909572329,0.4501279775622480901432760295,0.2245736532935834698100440321,Imported effective values; preserve until issue 1B retuning
minecraft:big_dripleaf,plant,1.0,1,plant,0,0,0,Imported effective values; preserve until issue 1B retuning
minecraft:big_dripleaf_stem,plant,1.0,1,plant,0,0,0,Imported effective values; preserve until issue 1B retuning
minecraft:birch_button,wood,6.4,1,wood,0.3500995381039707367781035785,0.2500710986456933834129311275,0.1500426591874160300477586765,Imported effective values; preserve until issue 1B retuning
minecraft:birch_door,wood,120.0,1,wood,6.562650165243059301173863157,4.687607260887899500838473684,2.812564356532739700503084210,Imported effective values; preserve until issue 1B retuning
minecraft:birch_fence,wood,160.0,1,wood,8.749546439674024967883025566,6.249816124192172284276902257,3.750085808710319600670778947,Imported effective values; preserve until issue 1B retuning
minecraft:birch_fence_gate,wood,160.0,1,wood,8.749546439674024967883025566,6.249816124192172284276902257,3.750085808710319600670778947,Imported effective values; preserve until issue 1B retuning
minecraft:birch_hanging_sign,wood,19.2,1,wood,1.050298614311912210334310735,0.7502132959370801502387933824,0.4501279775622480901432760295,Imported effective values; preserve until issue 1B retuning
minecraft:birch_leaves,plant,80.0,1,plant,0.1000284394582773533651724510,0.05001421972913867668258622550,0.05001421972913867668258622550,Imported effective values; preserve until issue 1B retuning
minecraft:birch_log,wood_log,650.0,1,wood_log,35.00014710064626217257847819,29.99970579870747565484304361,19.99980386580498376989536241,Imported effective values; preserve until issue 1B retuning
minecraft:birch_planks,wood,640.0,1,wood,35.00014710064626217257847819,25.00024516774377028763079699,15.00034323484127840268311579,Imported effective values; preserve until issue 1B retuning
minecraft:birch_pressure_plate,wood,35.2,1,wood,1.925057124084298477017975699,1.374900707063773033509527219,0.8247442900432475900010787381,Imported effective values; preserve until issue 1B retuning
minecraft:birch_sapling,plant,1.0,1,plant,0,0,0,Imported effective values; preserve until issue 1B retuning
minecraft:birch_shelf,wood,256.0,1,wood,14.00005884025850486903139128,9.999901932902491884947681203,5.999745025546478900863971129,Imported effective values; preserve until issue 1B retuning
minecraft:birch_sign,wood,32.0,1,wood,1.749517019544772533367329927,1.250355493228466917064655637,0.7502132959370801502387933824,Imported effective values; preserve until issue 1B retuning
minecraft:birch_slab,wood,320.0,1,wood,17.50007355032313108628923910,12.49963224838434456855380451,7.500171617420639201341557894,Imported effective values; preserve until issue 1B retuning
minecraft:birch_stairs,wood,480.0,1,wood,26.24961998999715605417226466,18.75042904355159800335389473,11.25025742613095880201233684,Imported effective values; preserve until issue 1B retuning
minecraft:birch_trapdoor,wood,120.0,1,wood,6.562650165243059301173863157,4.687607260887899500838473684,2.812564356532739700503084210,Imported effective values; preserve until issue 1B retuning
minecraft:birch_wall_hanging_sign,wood,19.2,1,wood,1.050298614311912210334310735,0.7502132959370801502387933824,0.4501279775622480901432760295,Imported effective values; preserve until issue 1B retuning
minecraft:birch_wall_sign,wood,25.6,1,wood,1.400398152415882947112414314,1.000284394582773533651724510,0.6001706367496641201910347059,Imported effective values; preserve until issue 1B retuning
minecraft:birch_wood,wood_log,650.0,1,wood_log,35.00014710064626217257847819,29.99970579870747565484304361,19.99980386580498376989536241,Imported effective values; preserve until issue 1B retuning
minecraft:black_banner,soft,5.0,1,soft,0.009806709750811505231879652058,0.001961341950162301046375930412,0.001961341950162301046375930412,Imported effective values; preserve until issue 1B retuning
minecraft:black_bed,soft,175.0,1,soft,0.1745594335644447931274578066,0.03530415510292141883476674741,0.03530415510292141883476674741,Imported effective values; preserve until issue 1B retuning
minecraft:black_candle,organic,4.8,1,organic,0.004903354875405752615939826029,0.001961341950162301046375930412,0.0009806709750811505231879652058,Imported effective values; preserve until issue 1B retuning
minecraft:black_candle_cake,organic,320.0,1,organic,0.4001137578331094134606898040,0.1196418589599003638289317551,0.04020750997832717145070657344,Imported effective values; preserve until issue 1B retuning
minecraft:black_carpet,soft,15.6,1,soft,0.03138147120259681674201488659,0.005884025850486903139127791235,0.005884025850486903139127791235,Imported effective values; preserve until issue 1B retuning
minecraft:black_concrete,stone_like,2400.0,1,stone_like,29.99970579870747565484304361,2.999872512773239450431985565,1.500426591874160300477586765,Imported effective values; preserve until issue 1B retuning
minecraft:black_concrete_powder,granular,1600.0,1,granular,0.5001421972913867668258622550,0.0009806709750811505231879652058,0,Imported effective values; preserve until issue 1B retuning
minecraft:black_glazed_terracotta,ceramic,2000.0,1,ceramic,15.00034323484127840268311579,1.000284394582773533651724510,0.5001421972913867668258622550,Imported effective values; preserve until issue 1B retuning
minecraft:black_shulker_box,container,340.0,1,container,4.250228006001706367496641202,1.700483470790715007207931667,0.8502417353953575036039658334,Imported effective values; preserve until issue 1B retuning
minecraft:black_stained_glass,glass,2500.0,1,glass,50.00049033548754057526159398,1.000284394582773533651724510,0.5001421972913867668258622550,Imported effective values; preserve until issue 1B retuning
minecraft:black_stained_glass_pane,glass,312.5,1,glass,6.249816124192172284276902257,0.1245452138353061164448715811,0.06276294240519363348402977317,Imported effective values; preserve until issue 1B retuning
minecraft:black_terracotta,ceramic,2000.0,1,ceramic,15.00034323484127840268311579,1.000284394582773533651724510,0.5001421972913867668258622550,Imported effective values; preserve until issue 1B retuning
minecraft:black_wall_banner,soft,5.0,1,soft,0.009806709750811505231879652058,0.001961341950162301046375930412,0.001961341950162301046375930412,Imported effective values; preserve until issue 1B retuning
minecraft:black_wool,soft,250.0,1,soft,0.5001421972913867668258622550,0.1000284394582773533651724510,0.1000284394582773533651724510,Imported effective values; preserve until issue 1B retuning
minecraft:black_wool_slab,soft,125.0,1,soft,0.2500710986456933834129311275,0.05001421972913867668258622550,0.05001421972913867668258622550,Imported effective values; preserve until issue 1B retuning
minecraft:black_wool_stairs,soft,187.5,1,soft,0.3746163124809994998578027086,0.07453099410616743976228535564,0.07453099410616743976228535564,Imported effective values; preserve until issue 1B retuning
minecraft:blackstone,stone,2900.0,1,stone,60.00039226839003246020927519,5.999745025546478900863971129,2.999872512773239450431985565,Imported effective values; preserve until issue 1B retuning
minecraft:blackstone_slab,stone,1450.0,1,stone,29.99970579870747565484304361,2.999872512773239450431985565,1.500426591874160300477586765,Imported effective values; preserve until issue 1B retuning
minecraft:blackstone_stairs,stone,2175.0,1,stone,45.00004903354875405752615940,4.500299104647399750909572329,2.249659216836159300193192182,Imported effective values; preserve until issue 1B retuning
minecraft:blackstone_wall,stone,1450.0,1,stone,29.99970579870747565484304361,2.999872512773239450431985565,1.500426591874160300477586765,Imported effective values; preserve until issue 1B retuning
minecraft:blast_furnace,utility,2600.0,1,utility,29.99970579870747565484304361,2.999872512773239450431985565,1.500426591874160300477586765,Imported effective values; preserve until issue 1B retuning
minecraft:blue_banner,soft,5.0,1,soft,0.009806709750811505231879652058,0.001961341950162301046375930412,0.001961341950162301046375930412,Imported effective values; preserve until issue 1B retuning
minecraft:blue_bed,soft,175.0,1,soft,0.1745594335644447931274578066,0.03530415510292141883476674741,0.03530415510292141883476674741,Imported effective values; preserve until issue 1B retuning
minecraft:blue_candle,organic,4.8,1,organic,0.004903354875405752615939826029,0.001961341950162301046375930412,0.0009806709750811505231879652058,Imported effective values; preserve until issue 1B retuning
minecraft:blue_candle_cake,organic,320.0,1,organic,0.4001137578331094134606898040,0.1196418589599003638289317551,0.04020750997832717145070657344,Imported effective values; preserve until issue 1B retuning
minecraft:blue_carpet,soft,15.6,1,soft,0.03138147120259681674201488659,0.005884025850486903139127791235,0.005884025850486903139127791235,Imported effective values; preserve until issue 1B retuning
minecraft:blue_concrete,stone_like,2400.0,1,stone_like,29.99970579870747565484304361,2.999872512773239450431985565,1.500426591874160300477586765,Imported effective values; preserve until issue 1B retuning
minecraft:blue_concrete_powder,granular,1600.0,1,granular,0.5001421972913867668258622550,0.0009806709750811505231879652058,0,Imported effective values; preserve until issue 1B retuning
minecraft:blue_glazed_terracotta,ceramic,2000.0,1,ceramic,15.00034323484127840268311579,1.000284394582773533651724510,0.5001421972913867668258622550,Imported effective values; preserve until issue 1B retuning
minecraft:blue_ice,frozen,920.0,1,frozen,9.999901932902491884947681203,1.500426591874160300477586765,0.8002275156662188269213796079,Imported effective values; preserve until issue 1B retuning
minecraft:blue_orchid,plant,1.0,1,plant,0,0,0,Imported effective values; preserve until issue 1B retuning
minecraft:blue_shulker_box,container,340.0,1,container,4.250228006001706367496641202,1.700483470790715007207931667,0.8502417353953575036039658334,Imported effective values; preserve until issue 1B retuning
minecraft:blue_stained_glass,glass,2500.0,1,glass,50.00049033548754057526159398,1.000284394582773533651724510,0.5001421972913867668258622550,Imported effective values; preserve until issue 1B retuning
minecraft:blue_stained_glass_pane,glass,312.5,1,glass,6.249816124192172284276902257,0.1245452138353061164448715811,0.06276294240519363348402977317,Imported effective values; preserve until issue 1B retuning
minecraft:blue_terracotta,ceramic,2000.0,1,ceramic,15.00034323484127840268311579,1.000284394582773533651724510,0.5001421972913867668258622550,Imported effective values; preserve until issue 1B retuning
minecraft:blue_wall_banner,soft,5.0,1,soft,0.009806709750811505231879652058,0.001961341950162301046375930412,0.001961341950162301046375930412,Imported effective values; preserve until issue 1B retuning
minecraft:blue_wool,soft,250.0,1,soft,0.5001421972913867668258622550,0.1000284394582773533651724510,0.1000284394582773533651724510,Imported effective values; preserve until issue 1B retuning
minecraft:blue_wool_slab,soft,125.0,1,soft,0.2500710986456933834129311275,0.05001421972913867668258622550,0.05001421972913867668258622550,Imported effective values; preserve until issue 1B retuning
minecraft:blue_wool_stairs,soft,187.5,1,soft,0.3746163124809994998578027086,0.07453099410616743976228535564,0.07453099410616743976228535564,Imported effective values; preserve until issue 1B retuning
minecraft:bone_block,organic,1900.0,1,organic,100,19.99980386580498376989536241,9.999901932902491884947681203,Imported effective values; preserve until issue 1B retuning
minecraft:bookshelf,wood_utility,700.0,1,wood_utility,35.00014710064626217257847819,19.99980386580498376989536241,12.00047072206803895225113022,Imported effective values; preserve until issue 1B retuning
minecraft:brain_coral,coral,1500.0,1,coral,5.000441301938786517735434584,0.5001421972913867668258622550,0.2000568789165547067303449020,Imported effective values; preserve until issue 1B retuning
minecraft:brain_coral_block,coral,1500.0,1,coral,5.000441301938786517735434584,0.5001421972913867668258622550,0.2000568789165547067303449020,Imported effective values; preserve until issue 1B retuning
minecraft:brain_coral_fan,coral,15.0,1,coral,0.05001421972913867668258622550,0.004903354875405752615939826029,0.001961341950162301046375930412,Imported effective values; preserve until issue 1B retuning
minecraft:brain_coral_wall_fan,coral,15.0,1,coral,0.05001421972913867668258622550,0.004903354875405752615939826029,0.001961341950162301046375930412,Imported effective values; preserve until issue 1B retuning
minecraft:brewing_stand,utility,2600.0,1,utility,29.99970579870747565484304361,2.999872512773239450431985565,1.500426591874160300477586765,Imported effective values; preserve until issue 1B retuning
minecraft:brick_slab,ceramic,950.0,1,ceramic,7.500171617420639201341557894,0.5001421972913867668258622550,0.2500710986456933834129311275,Imported effective values; preserve until issue 1B retuning
minecraft:brick_stairs,ceramic,1425.0,1,ceramic,11.25025742613095880201233684,0.7502132959370801502387933824,0.3746163124809994998578027086,Imported effective values; preserve until issue 1B retuning
minecraft:brick_wall,ceramic,950.0,1,ceramic,7.500171617420639201341557894,0.5001421972913867668258622550,0.2500710986456933834129311275,Imported effective values; preserve until issue 1B retuning
minecraft:bricks,ceramic,1900.0,1,ceramic,15.00034323484127840268311579,1.000284394582773533651724510,0.5001421972913867668258622550,Imported effective values; preserve until issue 1B retuning
minecraft:brown_banner,soft,5.0,1,soft,0.009806709750811505231879652058,0.001961341950162301046375930412,0.001961341950162301046375930412,Imported effective values; preserve until issue 1B retuning
minecraft:brown_bed,soft,175.0,1,soft,0.1745594335644447931274578066,0.03530415510292141883476674741,0.03530415510292141883476674741,Imported effective values; preserve until issue 1B retuning
minecraft:brown_candle,organic,4.8,1,organic,0.004903354875405752615939826029,0.001961341950162301046375930412,0.0009806709750811505231879652058,Imported effective values; preserve until issue 1B retuning
minecraft:brown_candle_cake,organic,320.0,1,organic,0.4001137578331094134606898040,0.1196418589599003638289317551,0.04020750997832717145070657344,Imported effective values; preserve until issue 1B retuning
minecraft:brown_carpet,soft,15.6,1,soft,0.03138147120259681674201488659,0.005884025850486903139127791235,0.005884025850486903139127791235,Imported effective values; preserve until issue 1B retuning
minecraft:brown_concrete,stone_like,2400.0,1,stone_like,29.99970579870747565484304361,2.999872512773239450431985565,1.500426591874160300477586765,Imported effective values; preserve until issue 1B retuning
minecraft:brown_concrete_powder,granular,1600.0,1,granular,0.5001421972913867668258622550,0.0009806709750811505231879652058,0,Imported effective values; preserve until issue 1B retuning
minecraft:brown_glazed_terracotta,ceramic,2000.0,1,ceramic,15.00034323484127840268311579,1.000284394582773533651724510,0.5001421972913867668258622550,Imported effective values; preserve until issue 1B retuning
minecraft:brown_mushroom,plant,1.0,1,plant,0,0,0,Imported effective values; preserve until issue 1B retuning
minecraft:brown_mushroom_block,organic,150.0,1,organic,1.000284394582773533651724510,0.3000853183748320600955173530,0.1000284394582773533651724510,Imported effective values; preserve until issue 1B retuning
minecraft:brown_shulker_box,container,340.0,1,container,4.250228006001706367496641202,1.700483470790715007207931667,0.8502417353953575036039658334,Imported effective values; preserve until issue 1B retuning
minecraft:brown_stained_glass,glass,2500.0,1,glass,50.00049033548754057526159398,1.000284394582773533651724510,0.5001421972913867668258622550,Imported effective values; preserve until issue 1B retuning
minecraft:brown_stained_glass_pane,glass,312.5,1,glass,6.249816124192172284276902257,0.1245452138353061164448715811,0.06276294240519363348402977317,Imported effective values; preserve until issue 1B retuning
minecraft:brown_terracotta,ceramic,2000.0,1,ceramic,15.00034323484127840268311579,1.000284394582773533651724510,0.5001421972913867668258622550,Imported effective values; preserve until issue 1B retuning
minecraft:brown_wall_banner,soft,5.0,1,soft,0.009806709750811505231879652058,0.001961341950162301046375930412,0.001961341950162301046375930412,Imported effective values; preserve until issue 1B retuning
minecraft:brown_wool,soft,250.0,1,soft,0.5001421972913867668258622550,0.1000284394582773533651724510,0.1000284394582773533651724510,Imported effective values; preserve until issue 1B retuning
minecraft:brown_wool_slab,soft,125.0,1,soft,0.2500710986456933834129311275,0.05001421972913867668258622550,0.05001421972913867668258622550,Imported effective values; preserve until issue 1B retuning
minecraft:brown_wool_stairs,soft,187.5,1,soft,0.3746163124809994998578027086,0.07453099410616743976228535564,0.07453099410616743976228535564,Imported effective values; preserve until issue 1B retuning
minecraft:bubble_column,technical,0.0,1,ignored,0,0,0,Explicitly ignored by the simulator
minecraft:bubble_coral,coral,1500.0,1,coral,5.000441301938786517735434584,0.5001421972913867668258622550,0.2000568789165547067303449020,Imported effective values; preserve until issue 1B retuning
minecraft:bubble_coral_block,coral,1500.0,1,coral,5.000441301938786517735434584,0.5001421972913867668258622550,0.2000568789165547067303449020,Imported effective values; preserve until issue 1B retuning
minecraft:bubble_coral_fan,coral,15.0,1,coral,0.05001421972913867668258622550,0.004903354875405752615939826029,0.001961341950162301046375930412,Imported effective values; preserve until issue 1B retuning
minecraft:bubble_coral_wall_fan,coral,15.0,1,coral,0.05001421972913867668258622550,0.004903354875405752615939826029,0.001961341950162301046375930412,Imported effective values; preserve until issue 1B retuning
minecraft:budding_amethyst,mineral,2650.0,1,mineral,39.99960773160996753979072481,2.999872512773239450431985565,1.500426591874160300477586765,Imported effective values; preserve until issue 1B retuning
minecraft:bush,plant,1.0,1,plant,0,0,0,Imported effective values; preserve until issue 1B retuning
minecraft:cactus,organic,600.0,1,organic,1.000284394582773533651724510,0.3000853183748320600955173530,0.1000284394582773533651724510,Imported effective values; preserve until issue 1B retuning
minecraft:cactus_flower,plant,1.0,1,plant,0,0,0,Imported effective values; preserve until issue 1B retuning
minecraft:cake,utility,1040.0,1,utility,12.00047072206803895225113022,1.200341273499328240382069412,0.6001706367496641201910347059,Imported effective values; preserve until issue 1B retuning
minecraft:calcite,stone,2710.0,1,stone,50.00049033548754057526159398,5.000441301938786517735434584,2.499730315481852683606123310,Imported effective values; preserve until issue 1B retuning
minecraft:calibrated_sculk_sensor,organic,900.0,1,organic,1.000284394582773533651724510,0.3000853183748320600955173530,0.1000284394582773533651724510,Imported effective values; preserve until issue 1B retuning
minecraft:campfire,wood_utility,210.0,1,wood_utility,10.50004413019387865177354346,5.999745025546478900863971129,3.600043149522903570623020270,Imported effective values; preserve until issue 1B retuning
minecraft:candle,organic,4.8,1,organic,0.004903354875405752615939826029,0.001961341950162301046375930412,0.0009806709750811505231879652058,Imported effective values; preserve until issue 1B retuning
minecraft:candle_cake,organic,320.0,1,organic,0.4001137578331094134606898040,0.1196418589599003638289317551,0.04020750997832717145070657344,Imported effective values; preserve until issue 1B retuning
minecraft:carrots,plant,1.0,1,plant,0,0,0,Imported effective values; preserve until issue 1B retuning
minecraft:cartography_table,wood_utility,700.0,1,wood_utility,35.00014710064626217257847819,19.99980386580498376989536241,12.00047072206803895225113022,Imported effective values; preserve until issue 1B retuning
minecraft:carved_pumpkin,organic,700.0,1,organic,1.000284394582773533651724510,0.3000853183748320600955173530,0.1000284394582773533651724510,Imported effective values; preserve until issue 1B retuning
minecraft:cauldron,utility,780.0,1,utility,8.999617538319718351295956694,0.9002559551244961802865520589,0.4501279775622480901432760295,Imported effective values; preserve until issue 1B retuning
minecraft:cave_air,technical,0.0,1,ignored,0,0,0,Explicitly ignored by the simulator
minecraft:cave_vines,plant,1.0,1,plant,0,0,0,Imported effective values; preserve until issue 1B retuning
minecraft:cave_vines_plant,plant,1.0,1,plant,0,0,0,Imported effective values; preserve until issue 1B retuning
minecraft:chain,iron,7870,0.03,metal,7.5,7.5,7.5,Required missing id; iron density and chain/rod volume fraction from WEIGHT_PLAN.md
minecraft:chain_command_block,utility,2600.0,1,utility,29.99970579870747565484304361,2.999872512773239450431985565,1.500426591874160300477586765,Imported effective values; preserve until issue 1B retuning
minecraft:cherry_button,wood,5.8,1,wood,0.3500995381039707367781035785,0.2500710986456933834129311275,0.1500426591874160300477586765,Imported effective values; preserve until issue 1B retuning
minecraft:cherry_door,wood,108.8,1,wood,6.562650165243059301173863157,4.687607260887899500838473684,2.812564356532739700503084210,Imported effective values; preserve until issue 1B retuning
minecraft:cherry_fence,wood,145.0,1,wood,8.749546439674024967883025566,6.249816124192172284276902257,3.750085808710319600670778947,Imported effective values; preserve until issue 1B retuning
